Timestamp,Pressure,Gas,T1_R,T1_T,T1_R_std,T1_T_std,T2_R,T2_T,T2_R_std,T2_T_std,Temp_Diff,dT_std
10:17:58,0.05,N2,109.152,23.057,0.004,0.009,108.988,22.645,0.007,0.017,0.412,0.011
10:18:19,0.05,N2,109.169,23.102,0.003,0.007,109.026,22.739,0.006,0.015,0.363,0.010
10:18:40,0.05,N2,109.183,23.136,0.002,0.004,109.057,22.819,0.005,0.012,0.317,0.010
10:19:02,0.05,N2,109.191,23.157,0.002,0.004,109.083,22.883,0.003,0.008,0.274,0.007
10:19:24,0.05,N2,109.199,23.176,0.002,0.004,109.104,22.935,0.003,0.008,0.241,0.006
10:19:57,0.1,N2,109.217,23.224,0.008,0.021,109.132,23.007,0.003,0.007,0.217,0.017
10:20:17,0.1,N2,109.233,23.260,0.002,0.004,109.151,23.054,0.004,0.009,0.206,0.011
10:20:40,0.1,N2,109.231,23.258,0.001,0.004,109.164,23.089,0.004,0.010,0.169,0.013
10:20:58,0.1,N2,109.229,23.253,0.001,0.003,109.168,23.099,0.006,0.014,0.154,0.015
10:21:19,0.1,N2,100.126,21.312,8.715,1.856,100.073,21.181,8.712,1.846,0.131,0.010
10:22:00,0.16,N2,109.241,23.283,0.010,0.025,109.175,23.118,0.009,0.022,0.165,0.024
10:22:19,0.16,N2,109.245,23.294,0.002,0.005,109.194,23.163,0.002,0.004,0.131,0.006
10:22:39,0.16,N2,109.239,23.279,0.001,0.002,109.194,23.162,0.002,0.005,0.117,0.005
10:22:59,0.16,N2,109.234,23.264,0.002,0.005,109.190,23.154,0.003,0.008,0.11,0.008
10:23:19,0.16,N2,109.230,23.255,0.001,0.003,109.187,23.147,0.004,0.009,0.108,0.009
10:24:05,0.19,N2,109.232,23.259,0.003,0.007,109.188,23.148,0.005,0.014,0.111,0.012
10:24:27,0.19,N2,109.233,23.263,0.002,0.004,109.193,23.161,0.002,0.004,0.102,0.006
10:24:50,0.19,N2,109.231,23.256,0.001,0.003,109.191,23.157,0.002,0.005,0.099,0.007
10:25:12,0.19,N2,109.230,23.255,0.003,0.007,109.191,23.156,0.003,0.008,0.099,0.009
10:25:34,0.19,N2,100.122,21.302,8.714,1.854,100.090,21.222,8.712,1.847,0.08,0.028
10:26:14,0.25,N2,109.247,23.297,0.003,0.007,109.200,23.178,0.013,0.032,0.119,0.033
10:26:33,0.25,N2,109.244,23.291,0.001,0.004,109.214,23.213,0.005,0.011,0.078,0.011
10:26:54,0.25,N2,109.244,23.290,32.938,7.022,109.208,23.200,32.927,6.995,0.09,
10:27:14,0.25,N2,109.242,23.284,32.938,7.020,109.205,23.191,32.927,6.992,0.093,
10:27:35,0.25,N2,109.242,23.285,32.938,7.021,109.203,23.188,32.926,6.991,0.097,
10:28:30,0.29,N2,109.260,23.330,0.002,0.004,109.227,23.248,0.002,0.004,0.082,0.004
10:28:53,0.29,N2,109.258,23.327,0.001,0.003,109.223,23.239,0.002,0.004,0.088,0.006
10:29:16,0.29,N2,109.260,23.332,0.001,0.003,109.224,23.239,0.001,0.002,0.093,0.003
10:29:38,0.29,N2,109.262,23.335,0.001,0.003,109.225,23.241,0.003,0.006,0.094,0.008
10:30:34,0.34,N2,109.284,23.389,0.003,0.007,109.252,23.310,0.001,0.003,0.079,0.008
10:30:54,0.34,N2,109.284,23.391,0.002,0.004,109.250,23.306,0.002,0.006,0.085,0.007
10:31:14,0.34,N2,100.179,21.446,8.720,1.868,100.144,21.360,8.717,1.860,0.086,0.009
10:31:35,0.34,N2,100.181,21.451,8.719,1.868,100.145,21.360,8.716,1.860,0.091,0.009
10:31:55,0.34,N2,109.289,23.405,0.002,0.004,109.253,23.311,0.002,0.005,0.094,0.005
10:32:46,0.42,N2,109.319,23.481,0.003,0.006,109.279,23.380,0.012,0.029,0.101,0.025
10:33:09,0.42,N2,109.318,23.478,0.001,0.003,109.283,23.389,0.002,0.004,0.089,0.005
10:33:31,0.42,N2,109.319,23.480,0.001,0.002,109.278,23.377,0.004,0.009,0.103,0.010
10:33:54,0.42,N2,109.320,23.484,0.002,0.004,109.277,23.375,0.004,0.010,0.109,0.010
10:34:16,0.42,N2,109.321,23.486,0.002,0.004,109.278,23.376,0.004,0.009,0.11,0.010
10:35:06,0.46,N2,100.222,21.555,8.723,1.877,100.181,21.452,8.719,1.866,0.103,0.015
10:35:28,0.46,N2,109.336,23.525,0.002,0.004,109.296,23.424,0.004,0.010,0.101,0.010
